LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.386, Time: 3.374729 s
         2814606 function calls (2802476 primitive calls) in 4.714 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(__init__)
       47    0.000    0.000    0.006    0.000 __init__.py:1298(_add_data_doc)
        3    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
       26    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       92    0.001    0.000    0.011    0.000 __init__.py:1342(_preprocess_data)
       25    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
       26    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EventType)
       57    0.000    0.000    0.000    0.000 __init__.py:152(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        3    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
        8    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:179(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
       43    0.000    0.000    0.000    0.000 __init__.py:1799(_str_equal)
