LebwohlLasher_vector_np.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.390, Time: 3.869948 s
         4906238 function calls (4891227 primitive calls) in 5.706 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 ImageTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageTk.py:206(BitmapImage)
        1    0.000    0.000    0.000    0.000 ImageTk.py:65(PhotoImage)
        1    0.000    0.000    5.706    5.706 LebwohlLasher_vector_np.py:1(<module>)
   250051    1.691    0.000    3.111    0.000 LebwohlLasher_vector_np.py:133(one_energy)
       51    0.001    0.000    0.016    0.000 LebwohlLasher_vector_np.py:169(all_energy)
       51    0.008    0.000    0.047    0.001 LebwohlLasher_vector_np.py:191(get_order)
       50    0.477    0.010    3.809    0.076 LebwohlLasher_vector_np.py:237(MC_step)
        1    0.001    0.001    3.878    3.878 LebwohlLasher_vector_np.py:284(main)
        1    0.000    0.000    0.000    0.000 LebwohlLasher_vector_np.py:34(initdat)
        2    0.000    0.000    0.000    0.000 LebwohlLasher_vector_np.py:48(plotdat)
        1    0.000    0.000    0.005    0.005 LebwohlLasher_vector_np.py:95(savedat)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1036(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1047(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:259(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:343(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:668(PngImageFile)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:381(_populate)
        1    0.000    0.000    0.000    0.000 __about__.py:1(<module>)
        2    0.000    0.000    0.084    0.042 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:95(<listcomp>)
        1    0.000    0.000    0.000    0.000 __config__.py:98(<listcomp>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       66    0.004    0.000    2.254    0.034 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(NBitBase)
        1    0.000    0.000    0.000    0.000 __init__.py:101(_StrongRef)
        8    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        6    0.000    0.000    0.000    0.000 __init__.py:103(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1037(__setitem__)
        6    0.000    0.000    0.000    0.000 __init__.py:104(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
        8    0.000    0.000    0.021    0.003 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1184(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1225(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:124(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:1248(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
        8    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 __init__.py:129(CallbackRegistry)
       19    0.000    0.000    0.000    0.000 __init__.py:1290(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(__init__)
       47    0.000    0.000    0.006    0.000 __init__.py:1298(_add_data_doc)
        1    0.000    0.000    0.009    0.009 __init__.py:13(_ensure_critical_deps)
        3    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
       34    0.000    0.000    0.001    0.000 __init__.py:1315(getLogger)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       92    0.001    0.000    0.011    0.000 __init__.py:1342(_preprocess_data)
       33    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
       34    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EventType)
        1    0.000    0.000    0.000    0.000 __init__.py:149(_ensure_llvm)
       57    0.000    0.000    0.000    0.000 __init__.py:152(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:17(_init)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        3    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
        8    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:179(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
       43    0.000    0.000    0.000    0.000 __init__.py:1799(_str_equal)
       32    0.000    0.000    0.000    0.000 __init__.py:1810(_str_lower_equal)
       12    0.000    0.000    0.001    0.000 __init__.py:1821(_define_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:184(_try_enable_svml)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
       82    0.000    0.000    0.001    0.000 __init__.py:1842(make_alias)
       12    0.000    0.000    0.000    0.000 __init__.py:1862(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1863(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.009    0.009 __init__.py:189(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1906(CallWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:191(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:192(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1928(XView)
       36    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        5    0.000    0.000    0.000    0.000 __init__.py:193(caching_module_getattr)
