LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.290, Time: 0.822737 s
         7611040 function calls (7348788 primitive calls) in 6.810 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.003    0.000    0.111    0.002 codegen.py:652(_optimize_functions)
    18371    0.016    0.000    0.111    0.000 values.py:557(_set_name)
       16    0.000    0.000    0.110    0.007 __init__.py:601(add_entry)
     2990    0.002    0.000    0.108    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  337/167    0.001    0.000    0.106    0.001 context.py:153(refresh)
    12413    0.009    0.000    0.106    0.000 ffi.py:73(__exit__)
      268    0.001    0.000    0.106    0.000 __init__.py:2046(find_on_path)
        1    0.000    0.000    0.101    0.101 arrayobj.py:4023(numpy_take_1)
     4259    0.008    0.000    0.101    0.000 builder.py:966(extract_value)
        1    0.000    0.000    0.100    0.100 rcsetup.py:1(<module>)
      178    0.000    0.000    0.099    0.001 re.py:249(compile)
    13330    0.015    0.000    0.098    0.000 event.py:388(end_event)
       33    0.000    0.000    0.096    0.003 typed_passes.py:219(run_pass)
       33    0.002    0.000    0.095    0.003 inline_closurecall.py:82(run)
    18371    0.012    0.000    0.095    0.000 _utils.py:16(register)
    12410    0.006    0.000    0.095    0.000 base.py:1260(exit_fn)
      635    0.002    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
    12600    0.006    0.000    0.090    0.000 ir.py:594(list_vars)
       33    0.000    0.000    0.089    0.003 untyped_passes.py:228(run_pass)
      635    0.089    0.000    0.089    0.000 {built-in method marshal.loads}
    12413    0.010    0.000    0.089    0.000 ffi.py:67(__enter__)
     4259    0.009    0.000    0.088    0.000 instructions.py:638(__init__)
    52212    0.033    0.000    0.088    0.000 event.py:227(notify)
      549    0.000    0.000    0.088    0.000 context.py:217(incref)
       33    0.000    0.000    0.083    0.003 untyped_passes.py:1694(run_pass)
       10    0.000    0.000    0.081    0.008 arrayobj.py:3573(_empty_nd_impl)
     2096    0.002    0.000    0.081    0.000 models.py:709(getter)
      485    0.001    0.000    0.081    0.000 lowering.py:1509(incref)
     2496    0.004    0.000    0.081    0.000 models.py:629(get)
    17802    0.065    0.000    0.080    0.000 _utils.py:24(deduplicate)
    13330    0.014    0.000    0.077    0.000 event.py:374(start_event)
   250000    0.077    0.000    0.077    0.000 LebwohlLasher_numba.py:132(one_energy)
    12410    0.006    0.000    0.076    0.000 base.py:1257(enter_fn)
      902    0.002    0.000    0.075    0.000 lowering.py:1459(delvar)
       99    0.000    0.000    0.074    0.001 postproc.py:157(_insert_var_dels)
       99    0.012    0.000    0.074    0.001 postproc.py:178(_patch_var_dels)
        1    0.000    0.000    0.074    0.074 __init__.py:559(_build_master)
        1    0.000    0.000    0.074    0.074 __init__.py:546(__init__)
     1003    0.003    0.000    0.072    0.000 lowering.py:1515(decref)
  720/714    0.002    0.000    0.072    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.068    0.068 art3d.py:1(<module>)
      544    0.002    0.000    0.068    0.000 npydecl.py:202(generic)
     1025    0.001    0.000    0.067    0.000 context.py:223(decref)
210122/209845    0.048    0.000    0.067    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.067    0.022 decorators.py:1(<module>)
      295    0.001    0.000    0.067    0.000 sre_parse.py:944(parse)
      566    0.005    0.000    0.067    0.000 npydecl.py:98(generic)
     3256    0.004    0.000    0.065    0.000 module.py:213(__next__)
9952/8829    0.006    0.000    0.065    0.000 contextlib.py:130(__enter__)
      297    0.001    0.000    0.064    0.000 postproc.py:51(deadmaps)
  782/295    0.003    0.000    0.064    0.000 sre_parse.py:436(_parse_sub)
